record_id,text,label
train-1-0-0,the delivery was excellent,1
train-1-0-1,the support was excellent,1
train-1-0-2,the service was excellent,1
train-1-0-3,the order was excellent,1
train-1-0-4,the response was excellent,1
train-1-0-5,the parcel was excellent,1
train-1-1-0,the delivery was helpful,1
train-1-1-1,the support was helpful,1
train-1-1-2,the service was helpful,1
train-1-1-3,the order was helpful,1
train-1-1-4,the response was helpful,1
train-1-1-5,the parcel was helpful,1
train-1-2-0,the delivery was quick,1
train-1-2-1,the support was quick,1
train-1-2-2,the service was quick,1
train-1-2-3,the order was quick,1
train-1-2-4,the response was quick,1
train-1-2-5,the parcel was quick,1
train-1-3-0,the delivery was good,1
train-1-3-1,the support was good,1
train-1-3-2,the service was good,1
train-1-3-3,the order was good,1
train-1-3-4,the response was good,1
train-1-3-5,the parcel was good,1
train-1-4-0,the delivery was reliable,1
train-1-4-1,the support was reliable,1
train-1-4-2,the service was reliable,1
train-1-4-3,the order was reliable,1
train-1-4-4,the response was reliable,1
train-1-4-5,the parcel was reliable,1
train-1-5-0,the delivery was great,1
train-1-5-1,the support was great,1
train-1-5-2,the service was great,1
train-1-5-3,the order was great,1
train-1-5-4,the response was great,1
train-1-5-5,the parcel was great,1
train-0-0-0,the delivery was late,0
train-0-0-1,the support was late,0
train-0-0-2,the service was late,0
train-0-0-3,the order was late,0
train-0-0-4,the response was late,0
train-0-0-5,the parcel was late,0
train-0-1-0,the delivery was damaged,0
train-0-1-1,the support was damaged,0
train-0-1-2,the service was damaged,0
train-0-1-3,the order was damaged,0
train-0-1-4,the response was damaged,0
train-0-1-5,the parcel was damaged,0
train-0-2-0,the delivery was poor,0
train-0-2-1,the support was poor,0
train-0-2-2,the service was poor,0
train-0-2-3,the order was poor,0
train-0-2-4,the response was poor,0
train-0-2-5,the parcel was poor,0
train-0-3-0,the delivery was slow,0
train-0-3-1,the support was slow,0
train-0-3-2,the service was slow,0
train-0-3-3,the order was slow,0
train-0-3-4,the response was slow,0
train-0-3-5,the parcel was slow,0
train-0-4-0,the delivery was bad,0
train-0-4-1,the support was bad,0
train-0-4-2,the service was bad,0
train-0-4-3,the order was bad,0
train-0-4-4,the response was bad,0
train-0-4-5,the parcel was bad,0
train-0-5-0,the delivery was unhelpful,0
train-0-5-1,the support was unhelpful,0
train-0-5-2,the service was unhelpful,0
train-0-5-3,the order was unhelpful,0
train-0-5-4,the response was unhelpful,0
train-0-5-5,the parcel was unhelpful,0
